price,title,location,address,description,bedrooms,bathrooms,parking,size,url,image_url
KSh 10 500 000,2 Bedroom Apartment / Flat,Westlands,"PQQV+9XC Muthangari, Westlands, Nairobi","FOR SALE: 2 & 3 BEDROOM APARTMENTS
CALL/WHATSAPP: +254 721 514314 

Orchid Residency is",2,2,1,100 m²,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-115832717,https://images.prop24.com/onc23aqrtwvwuxngmqxzpr3w4q/Crop600x400
KSh 7 600 000,1 Bedroom Apartment / Flat,Peponi,"Peponi Rd Nairobi, Peponi, Nairobi","Discover Luxury Living in Westlands Peponi road! ??
These apartments are good for both",1,1,1,9555 m²,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-peponi-115826984,https://images.prop24.com/go3exowf4qhajiknrxmbqicygy/Crop600x400
KSh 11 500 000,2 Bedroom Apartment / Flat,Westlands,"PQQV+9XC Muthangari, Westlands, Nairobi","FOR SALE: 1, 2 & 3 BEDROOM APARTMENTS
CALL/WHATSAPP: +254 721 514314

Orchid Residency",2,2,1,110 m²,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-115831851,https://images.prop24.com/enjeh5ixdjnkly3mn3g2cxwq2i/Crop600x400
KSh 12 500 000,2 Bedroom Apartment / Flat,Westlands,"Westlands, Westlands, Nairobi","Experience modern luxury in the heart of Westlands, Nairobi, with an exciting new",2,2,2,264 m²,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-westlands-115828531,https://images.prop24.com/gwsmymlz4tfdh6h4vsefovtcei/Crop600x400
KSh 13 500 000,2 Bedroom Apartment / Flat,Kileleshwa,"Kileleshwa, Kileleshwa, Nairobi",This brand new apartment has amenities designed to elevate your living experience. From the,2,2,2,264 m²,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-kileleshwa-115827459,https://images.prop24.com/eyjpxl266ggmada4xzbktk7ffe/Crop600x400
KSh 40 000 000,3 Bedroom Apartment / Flat,Westlands,"Westlands Highridge, Westlands, Nairobi","Experience Unmatched Luxury in Westlands
USD 160,58 0
Located in the heart of Westlands,",3,4,2,388 m²,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-westlands-115828538,https://images.prop24.com/dzilzcup4zczfdipjdgbnwbnua/Crop600x400
KSh 7 890 000,1 Bedroom Apartment / Flat,Westlands,"Westlands Highridge, Westlands, Nairobi","Discover luxurious, modern living in Westlands, Nairobi, with a new development that",1,1,1,112 m²,https://www.property24.co.ke/1-bedroom-apartment-flat-for-sale-in-westlands-115823748,https://images.prop24.com/42lsznuq7rqn4i356kmze7vcxi/Crop600x400
KSh 8 500 000,2 Bedroom Apartment / Flat,Lavington,"MVGP+C22 Moses Tanui Rd, Lavington, Nairobi","FOR SALE
SPACIOUS 1 & 2 BEDROOM APARTMENTS
CONTACT/WHATSAPP:  +254 721 514314
Price",2,2,1,86 m²,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-lavington-115818493,https://images.prop24.com/2z3o2wduhflfxof75nhdghljc4/Crop600x400
KSh 25 600 000,2 Bedroom Apartment / Flat,Riverside,"PQHR+8GF Riverside Dr, Riverside, Nairobi","For sale: 2 bedroom apartments master en-suite
Divine Residencies
Located along Riverside",2,2,1,93 m²,https://www.property24.co.ke/2-bedroom-apartment-flat-for-sale-in-riverside-115818192,https://images.prop24.com/yu4hqwsjkblie74yonehzoyu54/Crop600x400
KSh 12 900 000,3 Bedroom Apartment / Flat,Kilimani,"Riara Rd Maziwa, Kilimani, Nairobi",">Plumeria Residency is located at the intersection of Riara Road and
Kingara road, setting",3,2,1,130 m²,https://www.property24.co.ke/3-bedroom-apartment-flat-for-sale-in-kilimani-115816200,https://images.prop24.com/wu4o5atbjulwvakd3ac3xlqgay/Crop600x400
